strategy,rep,max_lc_unfusions,max_p_unfusions,qubits,depth,pt,pcnot,initial_gate_count,initial_2Q_count,initial_T_count,final_gate_count,final_2Q_count,final_T_count,optimisation_time,2Q_reduction,gate_reduction
cFlow,0,1.0,2.0,10,1000,0.02,0.3,1000,292,19,497,246,19,36.90099170804024,15.753424657534246,50.3
cFlow,0,2.0,2.0,10,1000,0.02,0.3,1000,292,19,509,245,19,39.39093174994923,16.095890410958905,49.1
cFlow,0,3.0,2.0,10,1000,0.02,0.3,1000,292,19,503,245,19,41.953313291072845,16.095890410958905,49.7
cFlow,0,4.0,2.0,10,1000,0.02,0.3,1000,292,19,503,245,19,44.47825620812364,16.095890410958905,49.7
cFlow,0,5.0,2.0,10,1000,0.02,0.3,1000,292,19,503,245,19,43.89063379098661,16.095890410958905,49.7
cFlow,0,0.0,3.0,10,1000,0.02,0.3,1000,292,19,492,245,19,65.99193620798178,16.095890410958905,50.8
cFlow,0,1.0,3.0,10,1000,0.02,0.3,1000,292,19,506,243,19,65.91324304090813,16.78082191780822,49.4
cFlow,0,2.0,3.0,10,1000,0.02,0.3,1000,292,19,501,243,19,68.25588070810772,16.78082191780822,49.9
cFlow,0,3.0,3.0,10,1000,0.02,0.3,1000,292,19,502,243,19,71.8975889168214,16.78082191780822,49.8
cFlow,0,4.0,3.0,10,1000,0.02,0.3,1000,292,19,502,243,19,72.92019087518565,16.78082191780822,49.8
cFlow,0,5.0,3.0,10,1000,0.02,0.3,1000,292,19,502,243,19,73.07235000003129,16.78082191780822,49.8
cFlow,0,0.0,4.0,10,1000,0.02,0.3,1000,292,19,481,244,19,80.6177710830234,16.438356164383563,51.9
cFlow,0,1.0,4.0,10,1000,0.02,0.3,1000,292,19,502,242,19,81.98306141700596,17.123287671232877,49.8
cFlow,0,2.0,4.0,10,1000,0.02,0.3,1000,292,19,504,241,19,87.3949895419646,17.465753424657535,49.6
cFlow,0,3.0,4.0,10,1000,0.02,0.3,1000,292,19,503,242,19,89.21562812500633,17.123287671232877,49.7
cFlow,0,4.0,4.0,10,1000,0.02,0.3,1000,292,19,503,242,19,88.3161128750071,17.123287671232877,49.7
cFlow,0,5.0,4.0,10,1000,0.02,0.3,1000,292,19,503,242,19,89.839539000066,17.123287671232877,49.7
